,Problem,Efficacy,Iterations,Elapsed Time
69,5x7_King_Nakornchai(1982)[Figure-1a].txt,0.823529411764706,1033,147.04867553710938
70,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1077,153.35535764694214
71,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1033,145.8399293422699
72,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1056,149.76502442359924
73,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1037,145.30968308448792
74,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1074,153.66510677337646
75,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1029,147.10832285881042
76,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1024,144.67084431648254
77,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1044,146.80337119102478
78,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1064,151.4570004940033
79,5x7_Waghodekar_Sahu(1984)[Problem-2].txt,0.6956521739130436,1060,149.34404611587524
80,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1048,165.51028728485107
81,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1115,171.53491711616516
82,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1034,161.10570001602173
83,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1098,170.4329047203064
84,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1043,161.93631315231323
85,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1040,162.5593729019165
86,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1061,165.6968445777893
87,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1090,167.78027534484863
88,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1081,169.77140879631042
89,6x8_Kusiak_Cho(1992).txt,0.7692307692307692,1121,174.65250205993652
90,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1562,281.51837062835693
91,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1489,269.03770875930786
92,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1396,252.51796102523804
93,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1615,293.8921585083008
94,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1581,286.59313106536865
95,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1299,236.06632161140442
96,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1434,257.39427614212036
97,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1584,290.1939060688019
98,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1734,315.86309146881104
99,7x11_Boctor(1991)[Example-1].txt,0.7083333333333334,1312,236.71176314353943
100,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1987,357.9687750339508
101,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1474,267.7473409175873
102,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1631,292.9549255371094
103,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1714,308.4399948120117
104,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1981,357.8140490055084
105,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1741,314.0852777957916
106,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,2001,359.29009222984314
107,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1950,351.8315043449402
108,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,1924,346.06264758110046
109,7x11_Kusiak_Chow(1987).txt,0.6086956521739131,2001,358.5841426849365
110,8x12_Seifoddini_Wolfe(1986).txt,0.6829268292682927,1632,324.1964385509491
111,8x12_Seifoddini_Wolfe(1986).txt,0.6829268292682927,1610,321.7307713031769
112,8x12_Seifoddini_Wolfe(1986).txt,0.6944444444444445,1946,383.5858645439148
113,8x12_Seifoddini_Wolfe(1986).txt,0.6944444444444445,1665,329.0502758026123
114,8x12_Seifoddini_Wolfe(1986).txt,0.6944444444444445,1638,326.9336612224579
115,8x12_Seifoddini_Wolfe(1986).txt,0.6829268292682927,1341,266.4177279472351
116,8x12_Seifoddini_Wolfe(1986).txt,0.6944444444444445,1542,307.4900059700012
117,8x12_Seifoddini_Wolfe(1986).txt,0.6944444444444445,2001,395.6314835548401
118,8x12_Seifoddini_Wolfe(1986).txt,0.6944444444444445,2001,395.52254486083984
119,8x12_Seifoddini_Wolfe(1986).txt,0.6944444444444445,2001,395.9276978969574
120,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,1729,420.13851523399353
121,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,490.70557951927185
122,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,487.9285707473755
123,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,485.56262469291687
124,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,492.761598110199
125,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,490.24667835235596
126,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,488.0797333717346
127,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,490.71917057037354
128,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,491.6092221736908
129,8x20_Chandrasekharan_Rajagopalan(1986a).txt,0.8524590163934427,2001,491.58551239967346
130,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.5871559633027522,2001,490.4065361022949
131,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.584070796460177,1754,426.64510893821716
132,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.584070796460177,1636,401.2177233695984
133,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.584070796460177,2001,487.11697030067444
134,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.5871559633027522,1840,450.8283431529999
135,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.5871559633027522,2001,489.24192118644714
136,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.5871559633027522,2001,492.6785032749176
137,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.5871559633027522,2001,488.6627609729767
138,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.5833333333333334,1580,386.8275136947632
