,Problem,Efficacy,Iterations,Elapsed Time
1,30x41_Kumar_Vanelli(1987)[Figure-11].txt,0.585987,6246,54449.96
1,30x41_Kumar_Vanelli(1987)[Figure-11].txt,0.588235,7246,63344.332
