Problem,Efficacy,Iterations,Elapsed Time
18x24_Carrie(1973).txt,0.5631067961165049,4013,17284.65338921547
18x24_Carrie(1973).txt,0.5728155339805825,5707,24546.5539355278
18x24_Carrie(1973).txt,0.5714285714285715,6425,27714.910343170166
18x24_Carrie(1973).txt,0.5643564356435643,6301,27249.66652727127
18x24_Carrie(1973).txt,0.5686274509803921,5180,22281.045453310013
18x24_Carrie(1973).txt,0.5523809523809525,3996,17185.63190150261
18x24_Carrie(1973).txt,0.5700934579439252,6298,27215.866590976715
18x24_Carrie(1973).txt,0.5436893203883495,3402,14647.46877503395
18x24_Carrie(1973).txt,0.5514018691588785,2556,10959.455442667007
18x24_Carrie(1973).txt,0.5688073394495413,5390,23268.996732711792
20x20_Mosier_Taube(1985b).txt,0.42446043165467623,4685,19837.184963464737
