Problem,Efficacy,Iterations,Elapsed Time
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8888888888888888,7024,48946.599343299866
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.9022556390977443,9053,62836.83402681351
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.9179104477611941,7330,47279.40470910072
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.7816901408450704,5328,34242.27737545967
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.7537313432835822,3868,24862.793603897095
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8571428571428571,8097,52048.83489489555
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8872180451127819,5026,32661.392065048218
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8832116788321167,6790,44046.4986205101
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.9626865671641791,6688,44016.5459895134
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.9242424242424243,5675,36557.864040374756
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8344827586206897,6334,41500.5632956028
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.7517730496453902,3581,23377.844595193863
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8489208633093523,6176,40310.949343919754
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8260869565217391,7448,48812.07092452049
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8888888888888888,7027,45769.50677537918
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8955223880597015,8670,56106.96364450455
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,1.0,8378,54146.04254555702
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.9057971014492754,7267,46817.456682920456
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.841726618705036 ,6341,40991.301411390305
24x40_Chandrasekharan_Rajagopalan(1989)[Dataset-1].txt,0.8714285714285714,7885,51278.898283958435
